Description,distinct_stockcodes
check,149
Damaged,58
?,47
damages,44
found,33
"sold as set on dotcom",20
adjustment,17
amazon,15
"thrown away",9
"Unsaleable, destroyed.",9
??,7
dotcom,7
"had been put aside",5
ebay,5
damages?,5
"wet damaged",5
missing,4
smashed,4
"incorrect stock entry.",3
mailout,3
Crushed,3
"METAL SIGN,CUPCAKE SINGLE HOOK",3
"wet pallet",3
"damages wax",2
"Dotcom sales",2
"EAU DE NILE JEWELLED PHOTOFRAME",2
"FRENCH LATTICE CUSHION COVER ",2
"FROSTED WHITE BASE ",2
"FRENCH FLORAL CUSHION COVER ",2
"mixed up",2
"PAPER LANTERN 9 POINT SNOW STAR",2
"PINK FAIRY CAKE CUSHION COVER",2
"PINK FLOCK GLASS CANDLEHOLDER",2
"PINK FLOWERS RABBIT EASTER",2
"printing smudges/thrown away",2
"RETRO PLASTIC 70'S TRAY",2
"RETRO PLASTIC DAISY TRAY",2
"RETRO PLASTIC POLKA TRAY",2
returned,2
"reverse 21/5/10 adjustment",2
"ROUND BLUE CLOCK WITH SUCKER",2
"rusty throw away",2
SAMPLES,2
???missing,2
"sold as 1",2
?missing,2
"SQUARE CHERRY BLOSSOM CABINET",2
"stock check",2
"STORAGE TIN VINTAGE LEAF",2
test,2
"COLOURING PENCILS BROWN TUBE",2
"COLUMBIAN CANDLE RECTANGLE",2
"Water damaged",2
"COLUMBIAN CANDLE ROUND",2
counted,2
wet/rusty,2
"WHITE BAMBOO RIBS LAMPSHADE",2
